Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Lenovo;Notebook;17.3;Intel Core i7 7500U 2.7GHz;6GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.8kg;949.00
HP;Notebook;15.6;AMD A10-Series A10-9620P 2.5GHz;6GB;128GB SSD;AMD Radeon 530;Windows 10;1.91kg;568.90
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M420;Windows 10;2.18kg;617.90
Acer;2 in 1 Convertible;11.6;Intel Celeron Dual Core N3350 2.0GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.25kg;349.00
Lenovo;Notebook;15.6;Intel Core i3 7130U 2.7GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;2.05kg;630.00
HP;Ultrabook;13.3;Intel Core M 6Y75 1.2GHz;16GB;512GB SSD;Intel HD Graphics 515;Windows 10;1.16kg;1965.00
Lenovo;Notebook;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M620M;Windows 10;3.4kg;2999.00
Asus;Notebook;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;839.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;1599.00
Dell;Notebook;15.6;Intel Core i5 7300U 2.6GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.93kg;959.00
Fujitsu;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.2kg;739.00
Lenovo;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;500GB HDD;Intel HD Graphics 505;Windows 10;2.2kg;344.00
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.02kg;990.00
HP;Workstation;17.3;Intel Core i5 7440HQ 2.8GHz;8GB;500GB HDD;Nvidia Quadro M1200;Windows 10;3.14kg;1860.99
HP;Notebook;14;Intel Pentium Quad Core N3710 1.6GHz;8GB;2TB HDD;Intel HD Graphics 405;Windows 10;1.94kg;389.00
HP;Notebook;15.6;AMD A9-Series A9-9420 3GHz;6GB;256GB SSD;AMD Radeon 530;Windows 10;1.95kg;649.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.3kg;830.00
Lenovo;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.05kg;685.00
Mediacom;Notebook;14;Intel Atom x5-Z8350 1.44GHz;4GB;32GB SSD;Intel HD Graphics;Windows 10;1.4kg;249.00
Toshiba;Ultrabook;14;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.24kg;1865.00
Lenovo;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;32GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.6kg;2663.00
MSI;Gaming;17.3;Intel Core i7 7820HK 2.9GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.14kg;2729.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R5 M430;Linux;2.2kg;749.01
Mediacom;Notebook;14;Intel Celeron Quad Core N3450 1.1GHz;4GB;32GB SSD;Intel HD Graphics 500;Windows 10;1.45kg;389.00
Dell;Notebook;15.6;Intel Core i5 7300U 2.6GHz;8GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.9kg;1008.52
HP;Notebook;13.3;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.49kg;719.00
Dell;Notebook;15.6;Intel Core i7 7600U 2.8GHz;16GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.93kg;1537.39
Dell;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.26kg;295.00
MSI;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.5kg;2349.00
HP;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3.78kg;1498.00
Lenovo;Ultrabook;14;Intel Core i7 6600U 2.6GHz;12GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.4kg;1673.00
Lenovo;Notebook;15.6;Intel Core i7 8550U 1.8GHz;12GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.2kg;609.00
Asus;Gaming;17.3;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.73kg;1770.00
Asus;2 in 1 Convertible;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.2kg;739.00
Lenovo;Notebook;15.6;AMD A12-Series 9720P 3.6GHz;12GB;512GB SSD;AMD Radeon 530;Windows 10;2.2kg;949.00
Dell;2 in 1 Convertible;11.6;Intel Core M 7Y30 1.0GHz;4GB;128GB SSD;Intel HD Graphics 615;Windows 10;1.39kg;603.00
Samsung;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;1699.00
Lenovo;Notebook;17.3;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;2.8kg;529.00
Lenovo;Notebook;15.6;Intel Core i3 6100U 2.3GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.29kg;459.00
Lenovo;2 in 1 Convertible;13.3;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;2025.00
Lenovo;Notebook;14;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Intel HD Graphics 630;Windows 10;1.7kg;1474.00
Dell;2 in 1 Convertible;12.5;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.34kg;1670.00
Dell;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M620;Windows 10;2.06kg;1763.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;1219.00
HP;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.1kg;668.48
Acer;Notebook;14;Intel Celeron Quad Core N3450 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.6kg;329.00
MSI;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 970M;Windows 10;4.14kg;2199.00
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M420;Linux;2.18kg;465.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8kg;2299.00
Toshiba;Notebook;15.6;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.2kg;1399.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.4kg;564.00
Lenovo;2 in 1 Convertible;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Intel HD Graphics 630;Windows 10;2kg;1299.00
Acer;Notebook;14;Intel Pentium Quad Core N3710 1.6GHz;4GB;128GB Flash Storage;Intel HD Graphics 405;Windows 10;1.6kg;349.00
Lenovo;Notebook;15.6;Intel Xeon E3-1535M v6 3.1GHz;32GB;1TB SSD;Nvidia Quadro M2200M;Windows 10;2.5kg;4899.00
Dell;Gaming;15.6;Intel Core i7 6700HQ 2.6GHz;16GB;1TB HDD;Nvidia GeForce GTX 960<U+039C>;Windows 10;2.59kg;879.01
Dell;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;Intel HD Graphics 520;Linux;2.18kg;443.90
Dell;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;Intel HD Graphics 520;Linux;2.25kg;359.00
Dell;Notebook;15.6;Intel Core i5 7300U 2.6GHz;4GB;500GB HDD;Intel HD Graphics 620;Linux;1.93kg;869.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3kg;1168.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;AMD Radeon R5 M420;Linux;2.18kg;569.00
HP;Ultrabook;15.6;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;1389.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.94kg;2267.86
Acer;2 in 1 Convertible;11.6;Intel Celeron Quad Core N3160 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.25kg;379.00
HP;Notebook;14;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.31kg;1124.00
Lenovo;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.65kg;1465.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;1TB HDD;AMD Radeon 530;Windows 10;2.2kg;776.00
Fujitsu;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.2kg;799.00
HP;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;1.88kg;932.00
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.2kg;899.00
Mediacom;Notebook;14;Intel Atom x5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics;Windows 10;1.4kg;239.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;No OS;2.2kg;468.00
Asus;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.5kg;639.01
Dell;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2kg;1820.00
Asus;Ultrabook;14;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1900.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.62kg;1479.00
Lenovo;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.8kg;829.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Nvidia GeForce 920MX ;Windows 10;2.2kg;579.00
Asus;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;8GB;1TB HDD;Intel HD Graphics 500;Windows 10;2kg;399.00
Asus;Notebook;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;1.99kg;906.62
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.23kg;1869.00
Lenovo;Notebook;14;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.42kg;249.00
Lenovo;2 in 1 Convertible;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;1757.42
Dell;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;2399.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050M;Windows 10;2.5kg;1109.00
HP;Notebook;17;AMD A9-Series 9420 3GHz;8GB;1TB HDD;AMD Radeon R5;Windows 10;2.6kg;520.90
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.14kg;2450.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050 Ti;No OS;2.5kg;1169.00
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.4kg;450.00
Lenovo;Notebook;14;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics;Windows 10;1.43kg;274.00
Acer;Ultrabook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel Graphics 620;Windows 10;1.8kg;919.00
Razer;Gaming;14;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD;Nvidia GeForce GTX 1060;Windows 10;1.95kg;2599.00
Toshiba;Notebook;13.3;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1213.00
Lenovo;Ultrabook;12.5;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1584.00
Asus;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;32GB;512GB SSD;Nvidia GeForce GTX 1080;Windows 10;3.8kg;2799.00
Acer;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4kg;709.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1449.90
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.2kg;1191.80
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.86kg;364.90
Toshiba;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.0kg;1064.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;919.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.2kg;1135.00
Lenovo;Gaming;15.6;Intel Core i7 6700HQ 2.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960;Windows 10;3.31kg;1196.00
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;32GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;3147.37
Dell;Notebook;14;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.56kg;1229.00
Lenovo;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;500GB HDD;Intel HD Graphics 500;Windows 10;2.2kg;419.00
Lenovo;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.2kg;535.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;6GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.04kg;539.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1486.77
Toshiba;Notebook;15.6;Intel Core i3 6100U 2.1GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;498.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.06kg;955.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon 530;Windows 10;2.1kg;745.00
Toshiba;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;1258.00
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Linux;2.1kg;412.00
Microsoft;Ultrabook;13.5;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.252kg;1867.85
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon R5 M430;Windows 10;1.90kg;817.95
Lenovo;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;1034.00
Lenovo;Notebook;15.6;AMD E-Series E2-9000 2.2GHz;4GB;128GB SSD;AMD Radeon R2 Graphics;Windows 10;2.2kg;349.00
HP;2 in 1 Convertible;14;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Nvidia GeForce 940MX;Windows 10;1.63kg;699.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.4kg;1294.00
Asus;Ultrabook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1135.00
HP;2 in 1 Convertible;11.6;Intel Celeron Dual Core N3350 1.1GHz;8GB;64GB Flash Storage;Intel HD Graphics 500;Chrome OS;1.4kg;495.00
LG;Ultrabook;15.6;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.09kg;2299.00
Acer;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;16GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1299.00
MSI;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;997.90
Asus;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;Windows 10;1.86kg;419.00
Dell;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.21kg;2051.00
HP;Notebook;17.3;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 520;Windows 10;2.5kg;699.00
Lenovo;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.19kg;1499.00
Dell;Gaming;15.6;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.49kg;2813.75
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon 520;Windows 10;1.86kg;612.61
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2kg;545.67
HP;Notebook;17.3;AMD A10-Series 9600P 2.4GHz;6GB;2TB HDD;AMD Radeon R7 M440;Windows 10;2.65kg;569.00
Lenovo;Notebook;15.6;Intel Celeron Dual Core 3855U 1.6GHz;4GB;500GB HDD;Intel HD Graphics 510;Windows 10;2.1kg;318.00
Acer;Notebook;14;Intel Celeron Dual Core 3855U 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45kg;375.00
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;699.00
HP;Workstation;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;500GB HDD;Nvidia Quadro M1200;Windows 10;3.14kg;1907.99
Lenovo;2 in 1 Convertible;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;2590.00
Toshiba;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.5kg;973.00
Acer;Netbook;11.6;Intel Celeron Dual Core N3050 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics;Windows 10;1.4kg;269.00
Lenovo;2 in 1 Convertible;14;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.38kg;1749.00
Asus;2 in 1 Convertible;12.5;Intel Core M M3-6Y30 0.9GHz;4GB;64GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.2kg;669.00
Toshiba;Ultrabook;13.3;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.36kg;1877.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;4GB;500GB HDD;AMD Radeon 530;Windows 10;2.1kg;689.00
Dell;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.56kg;819.00
Lenovo;Notebook;15.6;AMD A9-Series 9420 2.9GHz;4GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;399.00
Lenovo;Notebook;15.6;AMD A12-Series 9720P 3.6GHz;8GB;1TB HDD;AMD Radeon R7;Windows 10;2.2kg;429.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD +  1TB HDD;Intel HD Graphics 620;Windows 10;2.1kg;621.45
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.90kg;450.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;795.00
Acer;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;999.00
Lenovo;Workstation;15.6;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Nvidia Quadro M520M;Windows 7;2.18kg;1855.00
Lenovo;Notebook;14;Intel Core i5 6300HQ 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.8kg;1191.00
HP;Notebook;17.3;AMD A10-Series 9620P 2.5GHz;6GB;2TB HDD;AMD Radeon 530;Windows 10;2.71kg;655.01
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1249.00
Dell;Notebook;14;Intel Core i5 7440HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Linux;1.64kg;1089.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Linux;1.98kg;726.00
Asus;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;298.00
Dell;Notebook;15.6;Intel Core i5 7300U 2.6GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.93kg;1426.66
Lenovo;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 920MX;Windows 10;1.87kg;857.07
Dell;Notebook;15.6;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;1179.00
Lenovo;Notebook;15.6;AMD A6-Series 7310 2GHz;4GB;500GB HDD;AMD Radeon R4;Windows 10;2.19kg;298.00
Mediacom;Notebook;14;Intel Atom Z8350 1.92GHz;4GB;32GB HDD;Intel HD Graphics 400;Windows 10;1.4kg;265.00
HP;Notebook;17.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.63kg;1200.00
Lenovo;Ultrabook;14;Intel Core i7 6500U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.17kg;1686.64
HP;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.58kg;836.60
Lenovo;Ultrabook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;1499.00
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.36kg;3659.40
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1348.48
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;No OS;1.9kg;489.90
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.2kg;719.00
Dell;2 in 1 Convertible;13.3;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.71kg;649.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Linux;2.32kg;589.52
HP;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon 520;Windows 10;2.1kg;489.00
Acer;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.2kg;1935.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;12GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.25kg;649.00
HP;Notebook;15.6;AMD A9-Series A9-9420 3GHz;6GB;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1kg;650.00
Acer;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.4kg;559.00
Lenovo;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.44kg;960.00
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.85kg;779.00
HP;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD;Nvidia Quadro M2200;Windows 10;2.6kg;2419.00
Dell;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;1.55kg;659.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8kg;2094.48
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.4kg;410.80
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.0kg;1207.00
